code,desc,count
807,Offices of optometrists,"5,221"
808,Offices of other health practitioners,"15,061"
809,Outpatient care centers,"33,086"
817,Home health care services,"43,679"
818,Other health care services,"41,756"
819,Hospitals,"308,659"
827,Nursing care facilities,"112,465"
829,"Residential care facilities, without nursing","33,252"
837,Individual and family services,"41,553"
838,"Community food and housing, and emergency services","4,047"
839,Vocational rehabilitation services,"16,139"
847,Child day care services,"105,930"
856,"Independent artists, performing arts, spectator sports, and related industries","37,481"
857,"Museums, art galleries, historical sites, and similar institutions","11,142"
858,Bowling centers,"3,745"
859,"Other amusement, gambling, and recreation industries","110,526"
866,Traveler accommodation,"91,828"
867,"Recreational vehicle parks and camps, and rooming","8,458"
868,Restaurants and other food services,"452,461"
869,"Drinking places, alcoholic beverages","15,304"
877,Automotive repair and maintenance,"84,004"
878,Car washes,"9,498"
879,Electronic and precision equipment repair and maintenance,"10,233"
887,Commercial and industrial machinery and equipment repair and maintenance,"13,445"
888,Personal and household goods repair and maintenance,"12,604"
889,Footwear and leather goods repair,711
897,Barber shops,"5,532"
898,Beauty salons,"48,732"
899,Nail salons and other personal care services,"10,039"
907,Drycleaning and laundry services,"24,220"
908,"Funeral homes, cemeteries and crematories","9,335"
909,Other personal services,"15,738"
916,Religious organizations,"63,235"
917,"Civic, social, advocacy organizations, and grantmaking and giving services","41,053"
918,Labor unions,"5,343"
919,"Business, professional, political, and similar organizations","11,511"
929,Private households,"43,931"
937,Executive offices and legislative bodies,"25,470"
938,Public finance activities,"20,280"
939,Other general government and support,"55,260"
947,"Justice, public order, and safety activities","148,481"
948,Administration of human resource programs,"39,815"
949,Administration of environmental quality and housing programs,"14,374"
957,Administration of economic programs and space research,"37,208"
959,National security and international affairs,"36,027"
967,U. S. Army,"17,937"
968,U. S. Air Force,"15,026"
969,U. S. Navy,"14,950"
977,U. S. Marines,"7,895"
978,U. S. Coast Guard,"1,510"
979,"U. S. Armed Forces, branch not specified","3,473"
987,Military Reserves or National Guard,"2,427"
992,"Unemployed, no work experience since 1994","52,816"
