year,2017-cesiu,2017-quart,2017-thall,abran,abrasives-manufactured,aluminum,antimony,arsenic,asbestos,barite,bauxite-alumina,beryllium,bismuth,boron,bromine,cadmium,cement,chromium,clays,cobalt,construction_sand_and gravel,copper,crushed_stone,diamond,diatomite,dimension-stone,feldspar,fluorspar,gallium,garnet,gemstones,germanum,gold,graphite,gypsum,hafnium,helium,indium,iodine,iron-oxide-pigments,iron-steel,iron-steel-scrap,iron-steel-slag,iron_ore,kyanite,lead,lime,lithium,magnesium-compounds,magnesium-metal,manganese,mercury,mica,molybdenum,nasul,nickel,niobium,nitrogen,peat,perlite,phosphate,platinum,potash,pumice,rare-earths,rhenium,salt,sand-industrial,selenium,silicon,silver,soda-ash,strontium,sulfur,talc,tantalum,tellurium,thorium,tin,titanium-metal,titanium-minerals,titanium-pigments,tungsten,vanadium,vermiculite,wollastonite,zinc,zirconium
1960,0.0025218487394957985,0.07355392156862745,0.1818787878787879,53.685152057245084,18.63975155279503,5.237347294938918,4.34927536231884,22.897909354494125,29.135922330097088,270.36036036036035,341.410693970421,0.020006666666666666,0.6050403225806451,18.411042944785276,6.97906976744186,0.8958208955223881,151.56565656565655,34.895348837209305,877.485380116959,0.8852507374631269,2831.132075471698,4.208976157082749,1936.1290322580644,0.00015233502538071066,60.02,71.45238095238095,333.44444444444446,60.02,0.0011542307692307692,29.135922330097088,7.011682242990654e-06,0.010003333333333333,0.0026557522123893803,74.65174129353234,750.25,0.0340249433106576,0.8177111716621254,0.04150760719225449,1.808921036769138,16.954802259887007,45.7469512195122,91.7737003058104,1485.6435643564357,343.75715922107673,56.09345794392523,11.4106463878327,204.1496598639456,1.8411042944785276,38.873056994818654,3.755944931163955,31.572169037534525,0.4911620294599018,52.46503496503496,0.9871710526315789,142.9047619047619,1.8411042944785276,,29.61422215365611,263.2456140350877,318.91604675876727,440.02932551319645,0.0018639751552795032,81.77111716621253,605.0403225806451,0.8477401129943503,,429.9426934097421,845.3521126760564,0.20140939597315435,8.878698224852071,0.10242320819112628,105.66901408450705,49.35855263157895,131.62280701754386,124.52282157676348,,0.40444743935309974,0.19487012987012986,1.339732142857143,0.8501416430594901,123.49794238683127,9.16168030284528,0.964951768488746,0.552670349907919,174.47674418604652,100.03333333333333,10.493006993006993,57.60076775431862
1961,0.003686746987951807,0.075,0.18545454545454546,55.43478260869565,18.773006134969325,5.444839857651245,4.096385542168675,26.268349214524854,33.73759647188533,261.53846153846155,322.10526315789474,0.0255,0.6169354838709677,18.545454545454547,7.4092009685230025,0.827027027027027,156.12244897959184,43.714285714285715,897.3607038123167,0.9329268292682927,2942.3076923076924,4.580838323353293,1987.012987012987,0.00012697095435684646,60.0,72.85714285714286,306.0,61.2,0.00136,32.312565997888065,1.1007194244604317e-05,0.0102,0.0027079646017699114,61.693548387096776,753.6945812807883,0.03469387755102041,0.8337874659400545,0.04232365145228216,1.4683301343570057,16.721311475409838,47.44186046511628,85.47486033519554,1500.0,340.3781979977753,57.19626168224299,12.75,206.75675675675674,2.0675675675675675,40.963855421686745,3.8297872340425534,29.630758373104438,0.5340314136125655,52.30769230769231,0.9473684210526315,143.66197183098592,1.7790697674418605,,30.196441116357114,291.42857142857144,323.12565997888066,427.3743016759776,0.0022835820895522386,78.66323907455013,618.1818181818181,37.31707317073171,,445.414847161572,850.0,0.2170212765957447,6.681222707423581,0.10337837837837838,109.28571428571429,49.51456310679612,134.21052631578948,128.57142857142856,,0.3,0.2528925619834711,1.224,0.8668555240793201,137.83783783783784,9.368972168641498,1.0303030303030303,0.56353591160221,170.9497206703911,87.42857142857143,12.0,58.73320537428023
1962,0.0039,0.07933823529411765,0.19618181818181818,58.219424460431654,20.75,6.142314990512334,4.220338983050848,27.78779294360031,33.40557275541796,294.27272727272725,283.9473684210526,0.026975,0.6526209677419355,20.23125,8.407792207792207,0.854089709762533,166.8556701030928,25.896,930.1724137931035,1.0084112149532711,3053.7735849056603,4.739385065885798,2088.3870967741937,0.000155625,64.74,83.0,323.7,66.06122448979592,0.0018497142857142857,35.493421052631575,1.08989898989899e-05,0.01079,0.0028646017699115044,57.3936170212766,805.223880597015,0.03670068027210884,0.4350806451612903,0.04477178423236514,1.563768115942029,17.592391304347824,50.499219968798755,116.0215053763441,1526.8867924528302,366.1764705882353,60.504672897196265,15.268867924528301,215.8,2.720168067226891,38.082352941176474,4.051314142678348,36.79359258216435,0.5832432432432433,51.6267942583732,0.9779456193353474,147.13636363636363,1.8392045454545454,,31.943098004460126,320.4950495049505,352.9989094874591,455.2742616033755,0.002217123287671233,77.62589928057554,487.5,9.49266862170088,,483.85650224215243,847.3821989528797,0.24522727272727274,7.083150984682713,0.09248571428571428,118.13868613138686,51.13744075829384,150.5581395348837,131.58536585365852,,0.24522727272727274,0.21296052631578946,1.2794466403162055,0.9169971671388102,145.8108108108108,9.893636530350266,1.0115625,0.6422619047619048,182.8813559322034,92.48571428571428,12.64453125,62.130518234165066
1963,0.006475,0.08252450980392156,0.20406060606060605,74.82222222222222,21.72258064516129,6.761044176706827,4.389830508474576,22.676454741379313,39.70518867924528,303.33333333333337,275.9836065573771,0.028058333333333334,0.6788306451612903,20.53048780487805,9.538243626062323,0.6761044176706827,178.14814814814815,29.025862068965516,945.7865168539325,1.058805031446541,3146.7289719626165,4.929721815519766,2158.3333333333335,0.0001595734597156398,66.01960784313725,82.1219512195122,336.7,67.34,0.0028058333333333334,31.764150943396228,1.068888888888889e-05,0.01247037037037037,0.002979646017699115,79.2235294117647,831.3580246913581,0.020406060606060605,0.45255376344086023,0.04656984785615491,1.7222506393861892,17.909574468085108,52.201550387596896,127.05660377358491,1588.2075471698113,365.18438177874185,62.93457943925234,13.6869918699187,222.98013245033113,2.8777777777777778,41.51664611590629,4.214017521902378,44.86859879970928,0.6121818181818182,52.527301092043686,1.0203030303030303,153.74429223744292,1.9350574712643678,,33.22595334600471,308.89908256880733,364.0,470.9090909090909,0.002091304347826087,80.35799522673031,1470.3056768558952,10.554858934169278,,507.0783132530121,917.4386920980927,0.2979646017699115,8.055023923444976,0.08172330097087378,123.78676470588236,58.45486111111111,171.78571428571428,138.559670781893,,0.24576642335766424,0.25507575757575757,1.3101167315175097,0.9538243626062323,144.50643776824035,10.130581297388373,1.14135593220339,0.6680555555555555,193.5057471264368,84.175,12.705660377358491,64.62571976967371
1964,0.006857692307692308,0.08740196078431373,0.21612121212121213,77.86026200873363,23.460526315789473,6.831417624521073,3.8344086021505377,23.33158858937451,40.15765765765766,315.575221238938,285.28,0.029716666666666666,0.703353057199211,22.569620253164558,10.217765042979943,0.5394856278366112,188.67724867724868,28.758064516129032,993.3147632311978,1.1178683385579937,3332.7102803738317,5.001402524544179,2214.9068322981366,0.00016980952380952382,69.92156862745098,84.9047619047619,396.22222222222223,72.77551020408163,0.0029716666666666667,32.126126126126124,9.663956639566395e-06,0.013207407407407407,0.0031557522123893803,78.54625550660793,889.27680798005,0.02161212121212121,0.4793010752688172,0.046191709844559586,1.769727047146402,17.741293532338307,55.54517133956386,99.33147632311979,1698.095238095238,374.5798319327731,61.58894645941278,11.886666666666667,233.07189542483658,3.0478632478632477,38.97267759562842,4.463078848560701,45.20580103717041,0.3905805038335159,54.35975609756098,1.015954415954416,167.41784037558685,2.0494252873563217,1.3305970149253732,35.189708830369106,333.2710280373832,368.38842975206614,498.0446927374302,0.0019380434782608695,86.34382566585957,921.4470284237726,9.262337662337663,0.0035306930693069305,509.42857142857144,996.0893854748604,0.3594758064516129,9.096938775510203,0.0859277108433735,135.5893536121673,60.54329371816638,180.1010101010101,158.48888888888888,0.20377142857142858,0.2681203007518797,0.27015151515151514,1.0247126436781608,1.225429553264605,150.46413502109706,11.461078614128688,1.2645390070921987,0.7871964679911699,202.61363636363635,89.15,11.926421404682275,68.44529750479846
1965,0.00658448275862069,0.09360294117647058,0.23145454545454547,82.66233766233766,24.7987012987013,7.072222222222222,3.781188118811881,22.999096657633242,40.327349524815205,344.05405405405406,337.9646017699115,0.031825,0.5051587301587301,23.00602409638554,8.60135135135135,0.6711775043936731,204.22459893048128,29.376923076923077,1037.7717391304348,1.0974137931034482,3503.669724770642,4.8961538461538465,2417.0886075949365,0.00017845794392523363,76.38,90.92857142857143,381.9,76.38,0.0031825,39.00919305413687,1.239935064935065e-05,0.014144444444444444,0.003379646017699115,84.30463576158941,929.1970802919707,0.023145454545454545,0.5133064516129032,0.04320135746606335,1.9921752738654148,19.584615384615386,60.81210191082803,113.32344213649851,1836.0576923076922,400.7345225603358,65.95854922279793,10.818696883852692,249.6078431372549,3.849798387096774,40.97639484978541,4.779724655819774,49.6455500346756,0.2300602409638554,57.77609682299547,1.0434426229508196,180.9952606635071,2.1948275862068964,1.425,37.6863426873751,344.05405405405406,405.4140127388535,539.4067796610169,0.00201,89.43793911007025,684.4086021505376,7.874226804123711,0.003819,556.7055393586005,1078.8135593220338,0.38497983870967745,9.643939393939394,0.09202409638554217,149.1796875,67.0,172.80542986425337,159.125,0.18272727272727274,0.28714285714285714,0.1844927536231884,0.9717557251908397,1.3123711340206186,161.82203389830508,12.854690497828942,1.005,0.8430463576158941,193.85786802030458,95.475,11.934375,73.30134357005758
1966,0.007132758620689655,0.10139705882352941,0.25072727272727274,84.60122699386503,27.58,7.661111111111111,4.096039603960396,28.238907849829353,42.73760330578512,369.375,362.89473684210526,0.034475,0.46904761904761905,25.225609756097562,9.445205479452055,0.7747191011235955,223.6216216216216,34.1900826446281,1034.25,1.2096491228070176,3795.412844036697,5.210327455919395,2601.88679245283,0.00022241935483870967,79.5576923076923,96.20930232558139,376.09090909090907,88.02127659574468,0.0034475,39.4,1.2423423423423424e-05,0.02364,0.003661061946902655,83.40725806451613,1013.9705882352941,0.025072727272727274,0.5560483870967742,0.04679864253393665,2.2557251908396947,20.78894472361809,66.61835748792271,136.98675496688742,2285.635359116022,435.93256059009485,71.45077720207254,12.423423423423424,283.35616438356163,3.9028301886792454,46.326987681970884,5.177722152690864,51.309573887382214,0.323203125,61.83856502242152,1.1396694214876033,211.07142857142856,2.377586206896552,1.182,40.82440421515339,350.59322033898303,386.6355140186916,559.8105548037889,0.0020893939393939395,100.16949152542374,783.5227272727273,14.566901408450704,0.004217125382262997,594.3965517241379,1142.817679558011,0.41703629032258066,10.858267716535433,0.09968674698795181,160.34883720930233,71.08247422680412,163.5177865612648,185.51569506726457,0.1182,0.3134090909090909,0.18305309734513275,1.142817679558011,1.4216494845360825,155.52631578947367,13.268120590121873,0.8935205183585313,0.8408536585365853,198.89423076923077,91.93333333333334,12.928125,79.40499040307101
1967,0.007460344827586207,0.07658407079646018,0.2622424242424242,85.51383399209486,27.04375,7.852994555353902,4.284158415841584,26.05841613971695,43.57502517623364,360.5833333333333,335.4263565891473,0.03605833333333333,0.4905895691609977,27.04375,10.086247086247086,0.7434707903780069,232.63440860215053,32.78030303030303,1087.1859296482412,0.9901601830663616,3863.392857142857,5.151190476190476,2687.577639751553,0.00023263440860215055,81.64150943396227,83.21153846153847,393.3636363636364,88.3061224489796,0.0036058333333333333,43.48743718592965,1.428052805280528e-05,0.024725714285714285,0.003829203539823009,94.27015250544663,1073.697270471464,0.026224242424242424,0.5815860215053763,0.04894796380090498,2.13679012345679,19.75799086757991,69.56591639871382,159.0808823529412,2277.3684210526317,436.18951612903226,74.73229706390329,14.003236245954692,292.36486486486484,4.460824742268041,43.57502517623364,5.415519399249061,54.635661689701635,0.30471830985915493,66.16207951070336,1.1600536193029491,223.04123711340208,2.2304123711340207,1.4140522875816994,46.795341781341214,360.5833333333333,408.20754716981133,591.9288645690834,0.0019316964285714287,126.89149560117302,2110.7317073170734,7.699288256227758,0.0044334016393442624,608.5794655414908,1156.951871657754,0.4361895161290323,11.538666666666666,0.08688755020080322,167.06563706563708,78.24593128390597,134.797507788162,171.70634920634922,0.15677536231884057,0.3278030303030303,0.21853535353535353,1.2801775147928993,1.4869415807560138,171.02766798418972,14.16366612111293,1.0553658536585366,0.8794715447154472,201.25581395348837,96.15555555555555,14.186885245901639,83.05182341650672
1968,0.008079310344827586,0.08235500878734622,0.284,96.61855670103093,27.892857142857142,8.308510638297872,4.639603960396039,26.256513699781475,49.32631578947368,347.1111111111111,371.9047619047619,0.03905,0.5312925170068027,29.1055900621118,11.291566265060242,0.8023972602739726,250.58823529411765,33.95652173913044,1162.7791563275434,1.0413333333333334,4074.7826086956525,5.1607929515418505,2857.317073170732,0.000213,80.79310344827586,88.41509433962264,390.5,91.88235294117646,0.003905,48.96551724137931,1.7102189781021898e-05,0.026777142857142857,0.003632558139534884,115.70370370370371,1157.0370370370372,0.0292875,0.6298387096774194,0.05828358208955224,2.2356870229007635,19.689075630252102,75.33762057877813,183.76470588235293,2440.625,458.9618021547502,60.308880308880305,16.103092783505154,316.6216216216216,4.723790322580645,45.49514563106796,5.864831038798498,65.8171785768508,0.30232258064516127,66.75213675213675,1.2234986945169712,253.2972972972973,2.2421052631578946,1.6158620689655172,55.97362675916694,363.25581395348837,429.9082568807339,693.1952662721893,0.0020552631578947367,167.35714285714286,1501.923076923077,11.685785536159601,0.006214854111405836,643.6813186813187,1134.6246973365617,0.4723790322580645,12.234986945169712,0.06811046511627906,206.43171806167402,78.75630252100841,120.15384615384616,176.16541353383457,0.26777142857142855,0.35770992366412213,0.26625,1.4330275229357798,1.6103092783505155,188.19277108433735,15.598681801537897,0.9466666666666667,1.0344370860927152,216.94444444444443,104.13333333333334,15.724832214765101,75.21669341894061
1969,0.009651923076923077,0.08930604982206405,0.30418181818181816,107.7038626609442,29.875,8.365,3.951968503937008,26.513470681458003,53.8519313304721,355.95744680851067,384.89263803680984,0.03860769230769231,0.49205882352941177,31.17391304347826,11.978520286396181,0.6961165048543689,265.5555555555556,36.369565217391305,1183.7264150943395,1.2331695331695331,4253.389830508475,4.78,2952.3529411764707,0.00026696808510638296,82.27868852459017,86.53448275862068,386.0769230769231,98.41176470588235,0.005904705882352941,49.693069306930695,1.754895104895105e-05,0.02712972972972973,0.003773684210526316,110.0657894736842,1175.409836065574,0.03041818181818182,0.6745967741935484,0.06242537313432836,2.2577597840755734,21.63362068965517,70.0977653631285,166.74418604651163,2484.6534653465346,485.3965183752418,67.45967741935483,15.25531914893617,325.9090909090909,4.96930693069307,47.8,6.281602002503129,77.70698057591107,0.3414285714285714,70.59071729957806,1.2642317380352646,250.95,2.163362068965517,1.5163141993957705,91.1841552043306,363.695652173913,421.7647058823529,797.933227344992,0.0020402439024390243,211.7721518987342,2015.6626506024095,11.95,0.006321158690176323,700.0,1215.2542372881355,0.3259090909090909,12.392592592592592,0.08721112076455256,223.06666666666666,93.28996282527882,188.68421052631578,182.5090909090909,0.26140625,0.3951968503937008,0.28517045454545453,1.3864640883977901,1.7247422680412372,196.8235294117647,14.857904085257548,0.957824427480916,0.8449494949494949,207.39669421487605,100.38,15.538699690402476,80.561797752809
