#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
3,Full Speed Ahead,Troy,Full Speed Ahead (EPIC: The Musical Animatic),ElliamArts,24520,1072,50,3:02,2023-03-04,https://www.youtube.com/watch?v=5RbBC4t-BNI
3,Full Speed Ahead,Troy,Full Speed Ahead | Animatic,VaporST,16231,941,38,3:00,2025-03-29,https://www.youtube.com/watch?v=MA4AHgYIOSk
3,Full Speed Ahead,Troy,Full Speed Ahead | EPIC The Musical Animatic,The Traveling Pen,2778,198,15,2:58,2025-08-10,https://www.youtube.com/watch?v=wANznnQCt4k
3,Full Speed Ahead,Troy,EPIC - Full Speed Ahead Animatic,AliMar,5305,520,57,3:01,2025-07-06,https://www.youtube.com/watch?v=i6UOMAyFczk
3,Full Speed Ahead,Troy,FULL SPEED AHEAD | EPIC The Musical | ANIMATIC,virtue,10471,1627,120,3:07,2026-01-25,https://www.youtube.com/watch?v=oHIDqEMn-VA
3,Full Speed Ahead,Troy,Full Speed Ahead | EPIC: The Musical Animatic,MarComie,238674,23836,740,3:16,2025-09-05,https://www.youtube.com/watch?v=1hjME8ziza4
3,Full Speed Ahead,Troy,Full Speed Ahead | Epic: The Musical | 3D Animation,özberk özen,12327,1722,126,3:00,2026-02-05,https://www.youtube.com/watch?v=tE3VdM9GBBw
4,Open Arms,Troy,OPEN ARMS // Epic: the musical animatic,formerly human,2893032,77328,2321,3:26,2025-05-01,https://www.youtube.com/watch?v=bKMgFJq88Is
4,Open Arms,Troy,Open Arms - EPIC: The Musical Animatic,mircsy,8122378,123913,2980,3:42,2023-01-02,https://www.youtube.com/watch?v=OiaNekenThU
4,Open Arms,Troy,Open Arms || EPIC: The Musical || Animatic,Yon Hara,1539039,29085,667,3:24,2024-05-29,https://www.youtube.com/watch?v=7Tw1gwGo34Y
4,Open Arms,Troy,Open Arms Animatic [ EPIC: The Musical ],Imbecileo,304359,9080,230,3:20,2023-02-11,https://www.youtube.com/watch?v=xofNqK2szCc
4,Open Arms,Troy,Open Arms (EPIC: The Musical) Animatic,ElliamArts,36171,1728,69,3:14,2023-03-22,https://www.youtube.com/watch?v=8HvXr-GD2hI
4,Open Arms,Troy,Open Arms Animatic | Epic the Musical,GestoordVarken,344,13,1,3:20,2025-06-12,https://www.youtube.com/watch?v=uEh1hy8W7JY
4,Open Arms,Troy,Open Arms | EPIC The Musical Animatic,The Traveling Pen,4196,283,19,3:18,2025-09-11,https://www.youtube.com/watch?v=bHWFk9siJbU
4,Open Arms,Troy,Open Arms | EPIC: The Musical Animatic,MarComie,360102,36400,1047,3:30,2025-10-17,https://www.youtube.com/watch?v=tMxRNSwLUFQ
4,Open Arms,Troy,Open Arms - Epic Animatic,LillyPutt,282,27,10,3:15,2025-10-17,https://www.youtube.com/watch?v=viq7srTO8Ek
4,Open Arms,Troy,Open Arms Animatic: Epic the Musical,Rosa Thompson,23538,1815,97,2:32,2024-01-13,https://www.youtube.com/watch?v=l35zHqGdiOg
4,Open Arms,Troy,Open Arms // Epic the Musical Animatic,Nanabbi,64728,6655,310,4:15,2025-10-10,https://www.youtube.com/watch?v=1fJ9AWnfKbU
4,Open Arms,Troy,Open Arms | Epic: The Musical Fan-Animatic,Hanna Holovata,25,8,9,3:26,2026-03-30,https://www.youtube.com/watch?v=jK7zj-4hMcM
5,Warrior of the Mind,Troy,Warrior of the Mind - EPIC: The Musical Animatic (FLASH WARNING),mircsy,8471257,135056,1790,3:54,2023-01-30,https://www.youtube.com/watch?v=_N15ek-uTl0
5,Warrior of the Mind,Troy,Warrior of the Mind  [EPIC: The Musical - Animatic],Space Bar,1844323,67535,1017,3:55,2024-11-13,https://www.youtube.com/watch?v=qP9Z9HfXHko
5,Warrior of the Mind,Troy,Warrior of the Mind : EPIC the Musical Animatic,TacoDraws,162353,7990,281,4:01,2024-07-17,https://www.youtube.com/watch?v=S-qe6MpLtxs
5,Warrior of the Mind,Troy,Warrior of the Mind Animatic | Epic: The musical,Natashiii,10564,467,11,3:36,2024-08-31,https://www.youtube.com/watch?v=F-ztmoSGar8
5,Warrior of the Mind,Troy,Warrior of the Mind (Animatic EPIC: The Musical),ElliamArts,17420,829,21,3:27,2023-04-19,https://www.youtube.com/watch?v=t7Ivyn-Ic7U
5,Warrior of the Mind,Troy,Warrior of the Mind | EPIC: The Musical | Updated Audio,WolfyTheWitch,110165,10905,149,3:34,2025-04-12,https://www.youtube.com/watch?v=WGokqYZhfLA
5,Warrior of the Mind,Troy,Warrior of the Mind FULL ANIMATIC,Samsational Arts,226527,8091,163,3:48,2023-03-10,https://www.youtube.com/watch?v=isjDgqOyCN8
5,Warrior of the Mind,Troy,Warrior of the Mind (EPIC: The Musical/Animatic),Red_MoonDraws,112,7,0,3:29,2025-08-04,https://www.youtube.com/watch?v=Mi_XtbnRRrs
5,Warrior of the Mind,Troy,Warrior Of The Mind | EPIC The Musical Animatic,The Traveling Pen,2544,168,10,3:29,2025-10-11,https://www.youtube.com/watch?v=ZlbAJjQ-o0Y
