6,9,['b-', 'h-', 'm-', 'p-', 'r-', 't-'],['-ad', '-ail', '-are', '-at', '-atter', '-ill', '-ole', '-ug', '-ush']
6,8,['b-', 'c-', 'f-', 'h-', 'm-', 'p-'],['-ad', '-all', '-are', '-ast', '-at', '-ay', '-op', '-ull']
6,8,['b-', 'c-', 'f-', 'm-', 't-', 'w-'],['-ad', '-ake', '-all', '-an', '-ar', '-are', '-old', '-ore']
6,8,['b-', 'c-', 'h-', 'l-', 'm-', 'w-'],['-ad', '-ake', '-ash', '-ast', '-atch', '-ay', '-orn', '-ow']
6,8,['b-', 'c-', 'l-', 'm-', 'sh-', 't-'],['-ad', '-ake', '-oot', '-op', '-ore', '-orn', '-ow', '-ower']
6,8,['b-', 'c-', 'm-', 'sh-', 't-', 'w-'],['-ad', '-ake', '-all', '-are', '-oo', '-ore', '-orn', '-ow']
6,8,['b-', 'ch-', 'f-', 'm-', 'p-', 't-'],['-ar', '-at', '-eat', '-ile', '-ill', '-op', '-ore', '-uck']
6,8,['b-', 'ch-', 'f-', 'p-', 's-', 't-'],['-at', '-eat', '-ill', '-in', '-it', '-op', '-ore', '-uck']
6,8,['b-', 'd-', 'h-', 'l-', 'r-', 's-'],['-ad', '-ank', '-ash', '-ate', '-ay', '-ock', '-ump', '-ung']
6,8,['b-', 'f-', 'g-', 'r-', 's-', 't-'],['-ad', '-ag', '-ang', '-ear', '-ender', '-ill', '-un', '-unny']
6,8,['b-', 'f-', 'h-', 'm-', 'p-', 't-'],['-ad', '-ail', '-all', '-are', '-at', '-eat', '-ill', '-op']
6,8,['b-', 'f-', 'h-', 'm-', 'r-', 'st-'],['-ag', '-ake', '-are', '-at', '-ate', '-ay', '-ill', '-umble']
6,8,['b-', 'f-', 'm-', 'r-', 'sp-', 't-'],['-ake', '-an', '-are', '-at', '-end', '-ender', '-ill', '-oil']
6,8,['b-', 'f-', 'sh-', 'sp-', 't-', 'w-'],['-ake', '-are', '-ear', '-ell', '-ill', '-in', '-it', '-ore']
6,8,['b-', 'fl-', 'h-', 'm-', 'p-', 'r-'],['-ail', '-are', '-at', '-atter', '-ay', '-ock', '-uff', '-ush']
6,8,['b-', 'fl-', 'h-', 'm-', 'r-', 't-'],['-ag', '-ail', '-ake', '-are', '-at', '-atter', '-ow', '-ush']
6,8,['b-', 'fl-', 'h-', 'r-', 's-', 't-'],['-ack', '-ag', '-ail', '-ake', '-ank', '-at', '-ow', '-ub']
6,8,['b-', 'fl-', 'm-', 'r-', 'sh-', 't-'],['-ag', '-ake', '-are', '-at', '-atter', '-ow', '-ower', '-ush']
6,8,['b-', 'h-', 'l-', 'm-', 'r-', 't-'],['-ad', '-ag', '-ake', '-atter', '-oot', '-ow', '-ug', '-ush']
6,8,['b-', 'h-', 'm-', 'p-', 's-', 't-'],['-ad', '-ail', '-ale', '-at', '-eat', '-ill', '-ole', '-op']
6,8,['b-', 'h-', 'm-', 'pl-', 'r-', 'sl-'],['-ash', '-at', '-ate', '-ay', '-ow', '-ug', '-um', '-ush']
6,8,['b-', 'l-', 'm-', 'p-', 'sh-', 't-'],['-ad', '-atter', '-op', '-ore', '-orn', '-ower', '-uck', '-ush']
6,8,['b-', 'l-', 'm-', 'r-', 'sh-', 't-'],['-ad', '-ag', '-ake', '-atter', '-oot', '-ow', '-ower', '-ush']
6,8,['cl-', 'fl-', 'h-', 'p-', 'r-', 's-'],['-ack', '-ap', '-aw', '-ay', '-ick', '-ip', '-ock', '-ub']
6,8,['d-', 'h-', 'l-', 'p-', 'r-', 's-'],['-ad', '-ate', '-ay', '-ick', '-ip', '-ock', '-ot', '-ump']
6,8,['h-', 'm-', 'p-', 'r-', 's-', 't-'],['-ad', '-ail', '-ap', '-at', '-eal', '-ill', '-ole', '-ot']
6,7,['b-', 'c-', 'f-', 'h-', 'm-', 'w-'],['-ad', '-ake', '-all', '-are', '-ast', '-ay', '-old']
6,7,['b-', 'c-', 'f-', 'h-', 't-', 'w-'],['-ad', '-ake', '-all', '-are', '-ell', '-inder', '-old']
6,7,['b-', 'c-', 'f-', 'm-', 'r-', 't-'],['-ad', '-ake', '-an', '-are', '-at', '-oil', '-oot']
